%time,field0,field1,field2,field3,field4,field5,,,left x,left y,left z,right x,right y ,right z
1422318506608810000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506608850000,-104340,8940,6932,-106107,-19964,-3106,,,,,,,,
1422318506608870000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506608900000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506608920000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506608940000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506608970000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506608990000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506609010000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506609040000,-104340,8940,6932,-106107,-19964,-3106,,,,,,,,
1422318506609060000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506609080000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506609110000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506609130000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506609150000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506609190000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506609240000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506609270000,-104340,8940,6932,-106107,-19964,-3106,,,,,,,,
1422318506609300000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506609330000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506609350000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506609380000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506609400000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506609420000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506609450000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506609480000,-104340,8940,6932,-106107,-19964,-3106,,,,,,,,
1422318506609500000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
